,Postcode (single space),GEOWD18 code,Geographical Ward 2018 name,STATWD18 code,Statistical Ward 2018 name [Bestfit] ,LSOA11 code,LSOA11 local name,IMD2019 LSOA England Rank,IMD2019 England % Rank,IMD2019 England Deprivation Decile,IMD2019 LSOA Bristol Rank,IMD2019 Bristol Deprivation Decile
107,BS1 2HW,E05010892,Central,E05010892,Central,E01014540,City Centre and Queens Square,12154,0.3700523687735964,4,135,6
108,BS1 2JL,E05010892,Central,E05010892,Central,E01014540,City Centre and Queens Square,12154,0.3700523687735964,4,135,6
109,BS1 2JT,E05010892,Central,E05010892,Central,E01014542,University,18266,0.5561441968091585,6,175,7
110,BS1 2JY,E05010892,Central,E05010892,Central,E01014540,City Centre and Queens Square,12154,0.3700523687735964,4,135,6
111,BS1 2LA,E05010892,Central,E05010892,Central,E01014540,City Centre and Queens Square,12154,0.3700523687735964,4,135,6
112,BS1 2LE,E05010892,Central,E05010892,Central,E01014540,City Centre and Queens Square,12154,0.3700523687735964,4,135,6
113,BS1 2LJ,E05010885,Ashley,E05010885,Ashley,E01014485,Mina Road,12992,0.3955669224211424,4,140,6
114,BS1 2LU,E05010892,Central,E05010892,Central,E01014542,University,18266,0.5561441968091585,6,175,7
115,BS1 2LX,E05010892,Central,E05010892,Central,E01014542,University,18266,0.5561441968091585,6,175,7
116,BS1 2LY,E05010892,Central,E05010892,Central,E01014542,University,18266,0.5561441968091585,6,175,7
117,BS1 2LZ,E05010892,Central,E05010892,Central,E01014540,City Centre and Queens Square,12154,0.3700523687735964,4,135,6
118,BS1 2NA,E05010892,Central,E05010892,Central,E01014540,City Centre and Queens Square,12154,0.3700523687735964,4,135,6
119,BS1 2NB,E05010892,Central,E05010892,Central,E01014540,City Centre and Queens Square,12154,0.3700523687735964,4,135,6
120,BS1 2NH,E05010892,Central,E05010892,Central,E01014542,University,18266,0.5561441968091585,6,175,7
121,BS1 2NJ,E05010892,Central,E05010892,Central,E01014542,University,18266,0.5561441968091585,6,175,7
122,BS1 2NN,E05010892,Central,E05010892,Central,E01014542,University,18266,0.5561441968091585,6,175,7
123,BS1 2NP,E05010892,Central,E05010892,Central,E01014542,University,18266,0.5561441968091585,6,175,7
124,BS1 2NR,E05010892,Central,E05010892,Central,E01014542,University,18266,0.5561441968091585,6,175,7
125,BS1 2NT,E05010892,Central,E05010892,Central,E01014542,University,18266,0.5561441968091585,6,175,7
126,BS1 2NU,E05010892,Central,E05010892,Central,E01014542,University,18266,0.5561441968091585,6,175,7
127,BS1 2NZ,E05010892,Central,E05010892,Central,E01014542,University,18266,0.5561441968091585,6,175,7
128,BS1 2PH,E05010892,Central,E05010892,Central,E01014540,City Centre and Queens Square,12154,0.3700523687735964,4,135,6
129,BS1 2PY,E05010892,Central,E05010892,Central,E01014542,University,18266,0.5561441968091585,6,175,7
130,BS1 2PZ,E05010892,Central,E05010892,Central,E01014542,University,18266,0.5561441968091585,6,175,7
131,BS1 2QD,E05010892,Central,E05010892,Central,E01014540,City Centre and Queens Square,12154,0.3700523687735964,4,135,6
132,BS1 3AD,E05010892,Central,E05010892,Central,E01014540,City Centre and Queens Square,12154,0.3700523687735964,4,135,6
133,BS1 3AE,E05010907,Lawrence Hill,E05010907,Lawrence Hill,E01033353,Old Market and Temple Meads,5406,0.16459627329192547,2,64,3
134,BS1 3AF,E05010892,Central,E05010892,Central,E01014540,City Centre and Queens Square,12154,0.3700523687735964,4,135,6
135,BS1 3AG,E05010892,Central,E05010892,Central,E01033342,St James Barton,12787,0.3893252953355255,4,138,6
136,BS1 3AH,E05010892,Central,E05010892,Central,E01033342,St James Barton,12787,0.3893252953355255,4,138,6
137,BS1 3AU,E05010892,Central,E05010892,Central,E01033342,St James Barton,12787,0.3893252953355255,4,138,6
138,BS1 3BA,E05010892,Central,E05010892,Central,E01033342,St James Barton,12787,0.3893252953355255,4,138,6
139,BS1 3BB,E05010892,Central,E05010892,Central,E01033342,St James Barton,12787,0.3893252953355255,4,138,6
140,BS1 3BD,E05010892,Central,E05010907,Lawrence Hill,E01033358,Cabot Circus,1501,0.04570088905127268,1,20,1
141,BS1 3BE,E05010892,Central,E05010892,Central,E01033342,St James Barton,12787,0.3893252953355255,4,138,6
142,BS1 3BF,E05010892,Central,E05010907,Lawrence Hill,E01033358,Cabot Circus,1501,0.04570088905127268,1,20,1
143,BS1 3BH,E05010892,Central,E05010907,Lawrence Hill,E01033358,Cabot Circus,1501,0.04570088905127268,1,20,1
144,BS1 3BL,E05010892,Central,E05010892,Central,E01014540,City Centre and Queens Square,12154,0.3700523687735964,4,135,6
145,BS1 3BN,E05010892,Central,E05010892,Central,E01014540,City Centre and Queens Square,12154,0.3700523687735964,4,135,6
146,BS1 3BQ,E05010892,Central,E05010892,Central,E01033342,St James Barton,12787,0.3893252953355255,4,138,6
147,BS1 3BU,E05010892,Central,E05010892,Central,E01014540,City Centre and Queens Square,12154,0.3700523687735964,4,135,6
148,BS1 3BX,E05010892,Central,E05010907,Lawrence Hill,E01033358,Cabot Circus,1501,0.04570088905127268,1,20,1
149,BS1 3BZ,E05010892,Central,E05010892,Central,E01033342,St James Barton,12787,0.3893252953355255,4,138,6
150,BS1 3DA,E05010892,Central,E05010907,Lawrence Hill,E01033358,Cabot Circus,1501,0.04570088905127268,1,20,1
151,BS1 3DB,E05010892,Central,E05010892,Central,E01014540,City Centre and Queens Square,12154,0.3700523687735964,4,135,6
152,BS1 3DD,E05010892,Central,E05010892,Central,E01014540,City Centre and Queens Square,12154,0.3700523687735964,4,135,6
153,BS1 3DF,E05010892,Central,E05010892,Central,E01014540,City Centre and Queens Square,12154,0.3700523687735964,4,135,6
154,BS1 3DG,E05010892,Central,E05010892,Central,E01033342,St James Barton,12787,0.3893252953355255,4,138,6
155,BS1 3DH,E05010892,Central,E05010892,Central,E01033342,St James Barton,12787,0.3893252953355255,4,138,6
156,BS1 3DJ,E05010892,Central,E05010892,Central,E01033342,St James Barton,12787,0.3893252953355255,4,138,6
157,BS1 3DN,E05010892,Central,E05010892,Central,E01014540,City Centre and Queens Square,12154,0.3700523687735964,4,135,6
158,BS1 3DQ,E05010892,Central,E05010892,Central,E01033342,St James Barton,12787,0.3893252953355255,4,138,6
159,BS1 3DR,E05010892,Central,E05010892,Central,E01033342,St James Barton,12787,0.3893252953355255,4,138,6
160,BS1 3DS,E05010892,Central,E05010892,Central,E01033342,St James Barton,12787,0.3893252953355255,4,138,6
161,BS1 3DT,E05010892,Central,E05010892,Central,E01014540,City Centre and Queens Square,12154,0.3700523687735964,4,135,6
162,BS1 3DU,E05010892,Central,E05010892,Central,E01033342,St James Barton,12787,0.3893252953355255,4,138,6
163,BS1 3DW,E05010892,Central,E05010892,Central,E01033342,St James Barton,12787,0.3893252953355255,4,138,6
164,BS1 3DX,E05010892,Central,E05010892,Central,E01014540,City Centre and Queens Square,12154,0.3700523687735964,4,135,6
165,BS1 3DY,E05010892,Central,E05010892,Central,E01014540,City Centre and Queens Square,12154,0.3700523687735964,4,135,6
166,BS1 3DZ,E05010892,Central,E05010892,Central,E01014540,City Centre and Queens Square,12154,0.3700523687735964,4,135,6
167,BS1 3EA,E05010892,Central,E05010892,Central,E01014540,City Centre and Queens Square,12154,0.3700523687735964,4,135,6
168,BS1 3ED,E05010892,Central,E05010892,Central,E01033342,St James Barton,12787,0.3893252953355255,4,138,6
169,BS1 3EE,E05010892,Central,E05010892,Central,E01033342,St James Barton,12787,0.3893252953355255,4,138,6
170,BS1 3EF,E05010892,Central,E05010892,Central,E01014540,City Centre and Queens Square,12154,0.3700523687735964,4,135,6
171,BS1 3EG,E05010892,Central,E05010892,Central,E01033342,St James Barton,12787,0.3893252953355255,4,138,6
172,BS1 3EH,E05010892,Central,E05010892,Central,E01014540,City Centre and Queens Square,12154,0.3700523687735964,4,135,6
173,BS1 3EL,E05010892,Central,E05010892,Central,E01033342,St James Barton,12787,0.3893252953355255,4,138,6
174,BS1 3EN,E05010907,Lawrence Hill,E05010907,Lawrence Hill,E01033358,Cabot Circus,1501,0.04570088905127268,1,20,1
175,BS1 3EP,E05010892,Central,E05010892,Central,E01014540,City Centre and Queens Square,12154,0.3700523687735964,4,135,6
176,BS1 3EQ,E05010892,Central,E05010892,Central,E01033342,St James Barton,12787,0.3893252953355255,4,138,6
177,BS1 3ER,E05010892,Central,E05010892,Central,E01033342,St James Barton,12787,0.3893252953355255,4,138,6
178,BS1 3ES,E05010892,Central,E05010892,Central,E01033342,St James Barton,12787,0.3893252953355255,4,138,6
179,BS1 3EU,E05010892,Central,E05010892,Central,E01014540,City Centre and Queens Square,12154,0.3700523687735964,4,135,6
180,BS1 3EW,E05010892,Central,E05010892,Central,E01033342,St James Barton,12787,0.3893252953355255,4,138,6
181,BS1 3EX,E05010892,Central,E05010892,Central,E01033342,St James Barton,12787,0.3893252953355255,4,138,6
182,BS1 3HA,E05010892,Central,E05010892,Central,E01033342,St James Barton,12787,0.3893252953355255,4,138,6
183,BS1 3HB,E05010892,Central,E05010892,Central,E01033342,St James Barton,12787,0.3893252953355255,4,138,6
184,BS1 3HE,E05010892,Central,E05010892,Central,E01033342,St James Barton,12787,0.3893252953355255,4,138,6
185,BS1 3HF,E05010892,Central,E05010892,Central,E01033342,St James Barton,12787,0.3893252953355255,4,138,6
186,BS1 3HH,E05010892,Central,E05010892,Central,E01033342,St James Barton,12787,0.3893252953355255,4,138,6
187,BS1 3HT,E05010892,Central,E05010892,Central,E01033342,St James Barton,12787,0.3893252953355255,4,138,6
188,BS1 3HY,E05010892,Central,E05010892,Central,E01033342,St James Barton,12787,0.3893252953355255,4,138,6
189,BS1 3JA,E05010892,Central,E05010892,Central,E01033342,St James Barton,12787,0.3893252953355255,4,138,6
190,BS1 3JD,E05010892,Central,E05010892,Central,E01033342,St James Barton,12787,0.3893252953355255,4,138,6
191,BS1 3JE,E05010892,Central,E05010892,Central,E01033342,St James Barton,12787,0.3893252953355255,4,138,6
192,BS1 3JL,E05010892,Central,E05010892,Central,E01033342,St James Barton,12787,0.3893252953355255,4,138,6
193,BS1 3JP,E05010892,Central,E05010892,Central,E01033342,St James Barton,12787,0.3893252953355255,4,138,6
194,BS1 3JQ,E05010892,Central,E05010892,Central,E01033342,St James Barton,12787,0.3893252953355255,4,138,6
195,BS1 3JR,E05010892,Central,E05010892,Central,E01033342,St James Barton,12787,0.3893252953355255,4,138,6
196,BS1 3JS,E05010892,Central,E05010892,Central,E01033342,St James Barton,12787,0.3893252953355255,4,138,6
197,BS1 3JX,E05010892,Central,E05010892,Central,E01033342,St James Barton,12787,0.3893252953355255,4,138,6
198,BS1 3LE,E05010885,Ashley,E05010892,Central,E01033347,St Pauls Portland Square,5434,0.16544878821093656,2,65,3
199,BS1 3LG,E05010885,Ashley,E05010885,Ashley,E01033347,St Pauls Portland Square,5434,0.16544878821093656,2,65,3
200,BS1 3LH,E05010892,Central,E05010892,Central,E01033342,St James Barton,12787,0.3893252953355255,4,138,6
201,BS1 3LL,E05010892,Central,E05010892,Central,E01033347,St Pauls Portland Square,5434,0.16544878821093656,2,65,3
202,BS1 3LN,E05010892,Central,E05010892,Central,E01033342,St James Barton,12787,0.3893252953355255,4,138,6
203,BS1 3LP,E05010892,Central,E05010892,Central,E01033342,St James Barton,12787,0.3893252953355255,4,138,6
204,BS1 3LQ,E05010885,Ashley,E05010892,Central,E01033347,St Pauls Portland Square,5434,0.16544878821093656,2,65,3
205,BS1 3LR,E05010892,Central,E05010892,Central,E01033342,St James Barton,12787,0.3893252953355255,4,138,6
206,BS1 3LT,E05010892,Central,E05010892,Central,E01033342,St James Barton,12787,0.3893252953355255,4,138,6
207,BS1 3LU,E05010892,Central,E05010892,Central,E01033342,St James Barton,12787,0.3893252953355255,4,138,6
208,BS1 3LX,E05010892,Central,E05010892,Central,E01033342,St James Barton,12787,0.3893252953355255,4,138,6
209,BS1 3LY,E05010892,Central,E05010892,Central,E01033347,St Pauls Portland Square,5434,0.16544878821093656,2,65,3
210,BS1 3LZ,E05010892,Central,E05010892,Central,E01033342,St James Barton,12787,0.3893252953355255,4,138,6
211,BS1 3NG,E05010892,Central,E05010892,Central,E01033342,St James Barton,12787,0.3893252953355255,4,138,6
212,BS1 3NH,E05010892,Central,E05010892,Central,E01033342,St James Barton,12787,0.3893252953355255,4,138,6
213,BS1 3NN,E05010892,Central,E05010892,Central,E01033342,St James Barton,12787,0.3893252953355255,4,138,6
214,BS1 3NU,E05010892,Central,E05010892,Central,E01033342,St James Barton,12787,0.3893252953355255,4,138,6
215,BS1 3NW,E05010892,Central,E05010892,Central,E01033342,St James Barton,12787,0.3893252953355255,4,138,6
216,BS1 3NX,E05010892,Central,E05010892,Central,E01033342,St James Barton,12787,0.3893252953355255,4,138,6
217,BS1 3NY,E05010892,Central,E05010892,Central,E01014542,University,18266,0.5561441968091585,6,175,7
218,BS1 3NZ,E05010892,Central,E05010892,Central,E01033342,St James Barton,12787,0.3893252953355255,4,138,6
219,BS1 3PG,E05010907,Lawrence Hill,E05010907,Lawrence Hill,E01033358,Cabot Circus,1501,0.04570088905127268,1,20,1
220,BS1 3PH,E05010907,Lawrence Hill,E05010907,Lawrence Hill,E01033353,Old Market and Temple Meads,5406,0.16459627329192547,2,64,3
221,BS1 3PJ,E05010907,Lawrence Hill,E05010907,Lawrence Hill,E01033353,Old Market and Temple Meads,5406,0.16459627329192547,2,64,3
222,BS1 3PL,E05010892,Central,E05010892,Central,E01033342,St James Barton,12787,0.3893252953355255,4,138,6
223,BS1 3PQ,E05010907,Lawrence Hill,E05010907,Lawrence Hill,E01033358,Cabot Circus,1501,0.04570088905127268,1,20,1
224,BS1 3PR,E05010885,Ashley,E05010892,Central,E01033347,St Pauls Portland Square,5434,0.16544878821093656,2,65,3
225,BS1 3PU,E05010885,Ashley,E05010885,Ashley,E01033347,St Pauls Portland Square,5434,0.16544878821093656,2,65,3
226,BS1 3PY,E05010892,Central,E05010892,Central,E01033367,Stokes Croft West,1223,0.03723663378394836,1,16,1
227,BS1 3QD,E05010885,Ashley,E05010885,Ashley,E01033348,St Pauls City Road,3323,0.10117525270977956,2,42,2
228,BS1 3QP,E05010892,Central,E05010892,Central,E01033367,Stokes Croft West,1223,0.03723663378394836,1,16,1
229,BS1 3QU,E05010885,Ashley,E05010885,Ashley,E01033348,St Pauls City Road,3323,0.10117525270977956,2,42,2
230,BS1 3QY,E05010885,Ashley,E05010885,Ashley,E01033348,St Pauls City Road,3323,0.10117525270977956,2,42,2
231,BS1 3RB,E05010892,Central,E05010892,Central,E01033367,Stokes Croft West,1223,0.03723663378394836,1,16,1
232,BS1 3RD,E05010892,Central,E05010892,Central,E01033367,Stokes Croft West,1223,0.03723663378394836,1,16,1
233,BS1 3RJ,E05010885,Ashley,E05010885,Ashley,E01014489,Lower Montpelier,5787,0.17619656558275484,2,67,3
234,BS1 3RR,E05010892,Central,E05010892,Central,E01033367,Stokes Croft West,1223,0.03723663378394836,1,16,1
